AFE=Aer.Fechado|Aer.Closed
AIN=Aer.Interditato|Aer.Interdicted
AT1=Atr. Seg.|Del. Mon.
AT2=Atr. Ter.|Del. Tue.
AT3=Atr. Qua.|Del. Wed.
AT4=Atr. Qui.|Del. Thu.
AT5=Atr. Sex.|Del. Fri.
AT6=Atr. Sab.|Del. Sat.
AT7=Atr. Dom.|Del. Sun.
ATM=Atr. Meteo|Del. Meteo
ATR=Trafego|Trafic
ATT=Atr.Técnicos|Del.Technics
BDD=Vôo Fechado|Flight Closed
BHZ=Alt. BHZ|Div. BHZ
BSB=Alt. Brasília|Div. Brasília
CAN=Cancelado|Cancelled
CGH=Alt. Congonhas|Div. Congonhas
CKC=Ckin Fechado|Ckin Closed
CKO=Ckin Aberto|Ckin Open
CLO=Vôo Fechado|Flight Closed
CNF=Confirmado|Confirmed
CWB=Alt.Curitiba|Div.Curitiba
DEA=Check In Asa A|Check In Wing A
DEB=Check In Asa B|Check In Wing B
DEC=Check In Asa C|Check In Wing C
DED=Check In Asa D|Check In Wing D
DEP=Partido|Departed
DIE=Procure a Cia|Contact Airline
DLY=Atrasado|Delayed
EAF=ESC.ASSE|
EPR=P.REMOTA|
ESC=ESC.SP.C|
EXA=Desemb. TPS1|Arrival on T1
EXB=Desemb. TPS1|Arrival on T1
EXC=Desemb. TPS2|Arrival on T2
EXD=Desemb. TPS2|Arrival on T2
FAL=ALFANDEGA|
LAC=Últ. Chamada|Last Call
LAN=Pousado|Landed
LDA=Pousado Asa A|Landed Wing A
LDB=Pousado Asa B|Landed Wing B
LDC=Pousado Asa C|Landed Wing C
LDD=Pousado Asa D|Landed Wing D
LEA=L. Espera|W. List
LES=L. Espera|W. List
NAV=Alt.NAV|Div.NAV
NBD=Emb.Imediato|Now Boarding
NCO=A Confirmar|To be confirm.
NHO=No Horario|On Time
PAE=P. AEREA|
PBD=Emb.Próximo|Imm.Boarding
POA=Alt.Porto Alegre|Div.Porto Alegre
PSC=P.SP CAN|
RBA=R.BAGAGE|
RIO=Alt. Galeão|Div. Galeão
SJK=Alt.SJK|Div.SJK
SSA=Saida A|Exit A
SSB=Saida B|Exit B
SSC=Saida C|Exit C
SSD=Saida D|Exit C
TP1=TPS - 01|Terminal 01
TP2=TPS - 02|Terminal 02
VCP=Alt. VCP|Div. VCP
VEX=Vôo Extra|Extra Flight
VFR=Fretado|
VLO=Vôo Lotado|
VNP=Não Progr.|Not Sched.
VTR=Trânsito|Transit
PAT=Pousado|Landed
